Category id,Category name
cat1,SPORTS
cat2,SOCIAL
cat3,COMICS
cat4,TOOLS
cat5,COMMUNICATION
cat6,NEWS_AND_MAGAZINES
cat7,HEALTH_AND_FITNESS
cat8,FAMILY
cat9,BOOKS_AND_REFERENCE
cat10,LIFESTYLE
cat11,BUSINESS
cat12,SHOPPING
cat13,MEDICAL
cat14,GAME
cat15,FINANCE
cat16,PERSONALIZATION
cat17,PHOTOGRAPHY
cat18,TRAVEL_AND_LOCAL
cat19,DATING
cat20,PRODUCTIVITY
cat21,ART_AND_DESIGN
cat22,FOOD_AND_DRINK
cat23,VIDEO_PLAYERS
cat24,HOUSE_AND_HOME
cat25,MAPS_AND_NAVIGATION
cat26,EVENTS
cat27,EDUCATION
cat28,AUTO_AND_VEHICLES
cat29,WEATHER
cat30,BEAUTY
cat31,ENTERTAINMENT
cat32,LIBRARIES_AND_DEMO
cat33,PARENTING
